,fineLine,displayName,productUrl,brandName,brandLogo,forHire,unitOfMeasure,isSpecialOrder,availableForOrderOnline,availableForPickUp,availableForDelivery,isTradingRestricted,isThirdParty,isBundle,isCustomMade,hasPOADelivery,productImage,checkStoreForPrice,stockStatus,isFeatured,sellerName,isMarketplaceProduct,showStockLevel,isInStore,productRatings,totalReviewCount,Price_int
3,0035838,Ozito Power X Change 18V Standard Charger,/ozito-power-x-change-18v-standard-charger_p0035838,Ozito Power X Change,https,false,Each,false,true,true,true,false,false,false,false,false,https,false,null,false,,false,true,true,"{""averageOverallRating",0},19.0
4,0035840,Ozito Power X Change 18V Multi Battery Fast Charger,/ozito-power-x-change-18v-multi-battery-fast-charger_p0035840,Ozito Power X Change,https,false,Each,false,true,true,true,false,false,false,false,false,https,false,null,false,,false,true,true,"{""averageOverallRating",0},56.64
5,0080956,Ozito Power X Change 18V Brushless Chainsaw - Skin Only,/ozito-power-x-change-18v-brushless-chainsaw-skin-only_p0080956,Ozito Power X Change,https,false,Each,false,true,true,true,false,false,false,false,false,https,false,null,false,,false,true,true,"{""averageOverallRating",0},199.0
6,0087283,Ozito Power X Change 34 Piece Impact Driving Set,/ozito-power-x-change-34-piece-impact-driving-set_p0087283,Ozito Power X Change,https,false,Each,false,false,false,false,false,false,false,false,false,https,false,null,false,,false,true,true,"{""averageOverallRating",0},9.98
7,0097195,Ozito Power X Change 18V Garden Sprayer - Skin only,/ozito-power-x-change-18v-garden-sprayer-skin-only_p0097195,Ozito Power X Change,https,false,Each,false,true,true,true,false,false,false,false,false,https,false,null,false,,false,true,true,"{""averageOverallRating",1},69.0
8,0119784,Ozito Power-X-Change 18V Chainsaw And Sharpening Kit,/ozito-power-x-change-18v-chainsaw-and-sharpening-kit_p0119784,Ozito Power X Change,https,false,Each,false,true,true,true,false,false,false,false,false,https,false,null,false,,false,true,true,"{""averageOverallRating",0},199.0
9,0123305,Ozito Power X Change 2 x 18V Brushless Blower Vac And Mulcher Kit,/ozito-power-x-change-2-x-18v-brushless-blower-vac-and-mulcher-kit_p0123305,Ozito Power X Change,https,false,Each,false,false,false,false,false,false,false,false,false,https,false,null,false,,false,true,true,"{""averageOverallRating",0},199.0
10,0123306,Ozito Power X Change 18V Variable Speed Blower Kit,/ozito-power-x-change-18v-variable-speed-blower-kit_p0123306,Ozito Power X Change,https,false,Each,false,false,false,false,false,false,false,false,false,https,false,null,false,,false,true,true,"{""averageOverallRating",0},149.0
11,0123309,Ozito Power X Change 18V Blower And Lawn Edger Kit,/ozito-power-x-change-18v-blower-and-lawn-edger-kit_p0123309,Ozito Power X Change,https,false,Each,false,false,false,false,false,false,false,false,false,https,false,null,true,,false,true,true,"{""averageOverallRating",0},199.0
12,0123310,Ozito Power X Change 18V Brushless Lawn Mower - Skin Only,/ozito-power-x-change-18v-brushless-lawn-mower-skin-only_p0123310,Ozito Power X Change,https,false,Each,false,true,true,true,false,false,false,false,false,https,false,null,false,,false,true,true,"{""averageOverallRating",0},169.0
13,0124076,Ozito Power X Change 18V Hammer Drill - Skin Only,/ozito-power-x-change-18v-hammer-drill-skin-only_p0124076,Ozito Power X Change,https,false,Each,false,false,false,false,false,false,false,false,false,https,false,null,false,,false,true,true,"{""averageOverallRating",0},49.98
14,0124077,Ozito Power X Change 18V Drill Driver Kit,/ozito-power-x-change-18v-drill-driver-kit_p0124077,Ozito Power X Change,https,false,Each,false,false,false,false,false,false,false,false,false,https,false,null,false,,false,true,true,"{""averageOverallRating",1},99.0
15,0124935,Ozito Power X Change 18V Compact Drill And Impact Driver Kit,/ozito-power-x-change-18v-compact-drill-and-impact-driver-kit_p0124935,Ozito Power X Change,https,false,Each,false,false,false,false,false,false,false,false,false,https,false,null,false,,false,true,true,"{""averageOverallRating",0},99.0
16,0124938,Ozito Power X Change 18V Hammer Drill \u0026 Driving Kit,/ozito-power-x-change-18v-hammer-drill-driving-kit_p0124938,Ozito Power X Change,https,false,Each,false,false,false,false,false,false,false,false,false,https,false,null,false,,false,true,true,"{""averageOverallRating",0},149.0
17,0127565,Ozito Power X Change 18V Blower And Hedge Trimmer Kit,/ozito-power-x-change-18v-blower-and-hedge-trimmer-kit_p0127565,Ozito Power X Change,https,false,Each,false,false,false,false,false,false,false,false,false,https,false,null,false,,false,true,true,"{""averageOverallRating",0},149.0
18,0134396,Ozito Power X Change 18V Seed \u0026 Fertiliser Spreader - Skin Only,/ozito-power-x-change-18v-seed-fertiliser-spreader-skin-only_p0134396,Ozito Power X Change,https,false,Each,false,false,false,false,false,false,false,false,false,https,false,null,false,,false,false,true,"{""averageOverallRating",0},49.0
19,0135968,Ozito Power X Change 2 x 18V Brushless Steel Deck Lawn Mower Kit,/ozito-power-x-change-2-x-18v-brushless-steel-deck-lawn-mower-kit_p0135968,Ozito Power X Change,https,false,Each,false,false,false,false,false,false,false,false,false,https,false,null,false,,false,true,true,"{""averageOverallRating",0},449.0
20,0136008,Ozito Power X Change 18V Cordless 2-In-1 Nail And Staple Gun - Skin Only,/ozito-power-x-change-18v-cordless-2-in-1-nail-and-staple-gun-skin-only_p0136008,Ozito Power X Change,https,false,Each,false,true,true,true,false,false,false,false,false,https,false,null,false,,false,false,true,"{""averageOverallRating",0},99.98
21,0136009,Ozito Power X Change 18V Cordless Staple Gun - Skin Only,/ozito-power-x-change-18v-cordless-staple-gun-skin-only_p0136009,Ozito Power X Change,https,false,Each,false,true,true,true,false,false,false,false,false,https,false,null,false,,false,false,true,"{""averageOverallRating",0},79.98
22,0136011,Ozito Power X Change 18V Cordless LED Worklight - Skin Only,/ozito-power-x-change-18v-cordless-led-worklight-skin-only_p0136011,Ozito Power X Change,https,false,Each,false,false,false,false,false,false,false,false,false,https,false,null,false,,false,false,true,"{""averageOverallRating",0},39.99
23,0136012,Ozito Power X Change 18V Brushless 2 In 1 Sander And Polisher - Skin Only,/ozito-power-x-change-18v-brushless-2-in-1-sander-and-polisher-skin-only_p0136012,Ozito Power X Change,https,false,Each,false,false,false,false,false,false,false,false,false,https,false,null,false,,false,false,true,"{""averageOverallRating",0},149.0
24,0136010,Ozito Power X Change 18V Hybrid Twin LED Worklights And Tripod - Skin Only,/ozito-power-x-change-18v-hybrid-twin-led-worklights-and-tripod-skin-only_p0136010,Ozito Power X Change,https,false,Each,false,true,true,true,false,false,false,false,false,https,false,null,true,,false,false,true,"{""averageOverallRating",0},99.99
25,0136014,Ozito Power X Change 10L Vacuum Bags,/ozito-power-x-change-10l-vacuum-bags_p0136014,Ozito Power X Change,https,false,Each,true,true,true,true,false,false,false,false,false,https,false,null,false,,false,true,false,"{""averageOverallRating",0},12.98
26,0144390,Ozito Power X Change 18V Hammer Drill Kit,/ozito-power-x-change-18v-hammer-drill-kit_p0144390,Ozito Power X Change,https,false,Each,false,false,false,false,false,false,false,false,false,https,false,null,false,,false,false,true,"{""averageOverallRating",0},99.0
27,3380869,Ozito Power X Change 18V 1.5Ah Blower Kit,/ozito-power-x-change-18v-1-5ah-blower-kit_p3380869,Ozito Power X Change,https,false,Each,false,false,false,false,false,false,false,false,false,https,false,null,false,,false,true,true,"{""averageOverallRating",0},69.0
28,3380874,Ozito Power X Change 18V Grass Trimmer - Skin Only,/ozito-power-x-change-18v-grass-trimmer-skin-only_p3380874,Ozito Power X Change,https,false,Each,false,true,true,true,false,false,false,false,false,https,false,null,false,,false,true,true,"{""averageOverallRating",0},79.0
29,3380877,Ozito Power X Change Grass Trimmer Blade - 20 Pack,/ozito-power-x-change-grass-trimmer-blade-20-pack_p3380877,Ozito Power X Change,https,false,Each,false,true,true,true,false,false,false,false,false,https,false,null,false,,false,true,true,"{""averageOverallRating",0},12.75
30,3380984,Ozito Power X Change 18V Grass Trimmer and Shear - Skin Only,/ozito-power-x-change-18v-grass-trimmer-and-shear-skin-only_p3380984,Ozito Power X Change,https,false,Each,false,true,true,true,false,false,false,false,false,https,false,null,false,,false,true,true,"{""averageOverallRating",1},79.0
31,3381036,Ozito Power X Change 18V Pole Hedge Trimmer - Skin Only,/ozito-power-x-change-18v-pole-hedge-trimmer-skin-only_p3381036,Ozito Power X Change,https,false,Each,false,true,true,true,false,false,false,false,false,https,false,null,false,,false,true,true,"{""averageOverallRating",0},164.0
32,3381084,Ozito Power X Change 18V Blower Kit,/ozito-power-x-change-18v-blower-kit_p3381084,Ozito Power X Change,https,false,Each,false,true,true,true,false,false,false,false,false,https,false,null,false,,false,true,true,"{""averageOverallRating",0},99.0
33,3381085,Ozito Power X Change 18V Cordless Hedge Trimmer Kit,/ozito-power-x-change-18v-cordless-hedge-trimmer-kit_p3381085,Ozito Power X Change,https,false,Each,false,true,true,true,false,false,false,false,false,https,false,null,true,,false,true,true,"{""averageOverallRating",1},135.0
34,3381086,Ozito Power X Change 18V Grass Trimmer Kit,/ozito-power-x-change-18v-grass-trimmer-kit_p3381086,Ozito Power X Change,https,false,Each,false,true,true,true,false,false,false,false,false,https,false,null,false,,false,true,true,"{""averageOverallRating",1},125.0
35,3381110,Ozito Power X Change 18V Cordless Chainsaw Chain Sharpener - Skin Only,/ozito-power-x-change-18v-cordless-chainsaw-chain-sharpener-skin-only_p3381110,Ozito Power X Change,https,false,Each,false,true,true,true,false,false,false,false,false,https,false,null,false,,false,true,true,"{""averageOverallRating",0},67.5
36,3381169,Ozito Garden 45L Dust Collecting Blower Vac Bag,/ozito-garden-45l-dust-collecting-blower-vac-bag_p3381169,Ozito Power X Change,https,false,Each,false,true,true,true,false,false,false,false,false,https,false,null,false,,false,true,true,"{""averageOverallRating",0},22.0
37,3381338,Ozito Power X Change 18V Pruner Attachment,/ozito-power-x-change-18v-pruner-attachment_p3381338,Ozito Power X Change,https,false,Each,false,true,true,true,false,false,false,false,false,https,false,null,false,,false,true,true,"{""averageOverallRating",0},49.0
38,3400461,Ozito Power X Change Grass Trimmer Blade - 50 Pack,/ozito-power-x-change-grass-trimmer-blade-50-pack_p3400461,Ozito Power X Change,https,false,Each,false,true,true,true,false,false,false,false,false,https,false,null,false,,false,true,true,"{""averageOverallRating",0},22.0
39,5820828,Ozito Power X Change Medium Tool Bag,/ozito-power-x-change-medium-tool-bag_p5820828,Ozito Power X Change,https,false,Each,false,true,true,true,false,false,false,false,false,https,false,null,false,,false,true,true,"{""averageOverallRating",0},19.98
40,6290472,Ozito Power X Change 18V Impact Driver - Skin Only,/ozito-power-x-change-18v-impact-driver-skin-only_p6290472,Ozito Power X Change,https,false,Each,false,true,true,true,false,false,false,false,false,https,false,null,false,,false,true,true,"{""averageOverallRating",1},49.0
41,6290473,Ozito Power X Change 18V Reciprocating Saw - Skin Only,/ozito-power-x-change-18v-reciprocating-saw-skin-only_p6290473,Ozito Power X Change,https,false,Each,false,true,true,true,false,false,false,false,false,https,false,null,false,,false,true,true,"{""averageOverallRating",0},55.0
42,6290475,Ozito Power X Change 18V Detail Sander - Skin Only,/ozito-power-x-change-18v-detail-sander-skin-only_p6290475,Ozito Power X Change,https,false,Each,false,true,true,true,false,false,false,false,false,https,false,null,false,,false,true,true,"{""averageOverallRating",0},39.9
43,6290476,Ozito Power X Change 18V Worklight - Skin Only,/ozito-power-x-change-18v-worklight-skin-only_p6290476,Ozito Power X Change,https,false,Each,false,true,true,true,false,false,false,false,false,https,false,null,false,,false,true,true,"{""averageOverallRating",1},15.98
44,6290477,Ozito Power X Change 18V Jigsaw - Skin Only,/ozito-power-x-change-18v-jigsaw-skin-only_p6290477,Ozito Power X Change,https,false,Each,false,true,true,true,false,false,false,false,false,https,false,null,false,,false,true,true,"{""averageOverallRating",1},59.9
45,6290517,Ozito Power X Change 18V USB Power Station,/ozito-power-x-change-18v-usb-power-station_p6290517,Ozito Power X Change,https,false,Each,false,true,true,true,false,false,false,false,false,https,false,null,false,,false,true,true,"{""averageOverallRating",1},13.5
46,6290527,Ozito Power X Change 18V Rotary Hammer Drill - Skin Only,/ozito-power-x-change-18v-rotary-hammer-drill-skin-only_p6290527,Ozito Power X Change,https,false,Each,false,true,true,true,false,false,false,false,false,https,false,null,false,,false,true,true,"{""averageOverallRating",0},99.0
47,6290530,Ozito Power X Change 18V Workshop Blower And Inflator - Skin only,/ozito-power-x-change-18v-workshop-blower-and-inflator-skin-only_p6290530,Ozito Power X Change,https,false,Each,false,true,true,true,false,false,false,false,false,https,false,null,false,,false,true,true,"{""averageOverallRating",0},39.95
0,3380984,Ozito Power X Change 18V Grass Trimmer and Shear - Skin Only,/ozito-power-x-change-18v-grass-trimmer-and-shear-skin-only_p3380984,Ozito Power X Change,https,false,Each,false,true,true,true,false,false,false,false,false,https,false,null,false,,false,true,true,"{""averageOverallRating",1},79.0
1,3381036,Ozito Power X Change 18V Pole Hedge Trimmer - Skin Only,/ozito-power-x-change-18v-pole-hedge-trimmer-skin-only_p3381036,Ozito Power X Change,https,false,Each,false,true,true,true,false,false,false,false,false,https,false,null,false,,false,true,true,"{""averageOverallRating",0},164.0
2,3381084,Ozito Power X Change 18V Blower Kit,/ozito-power-x-change-18v-blower-kit_p3381084,Ozito Power X Change,https,false,Each,false,true,true,true,false,false,false,false,false,https,false,null,false,,false,true,true,"{""averageOverallRating",0},99.0
3,3381085,Ozito Power X Change 18V Cordless Hedge Trimmer Kit,/ozito-power-x-change-18v-cordless-hedge-trimmer-kit_p3381085,Ozito Power X Change,https,false,Each,false,true,true,true,false,false,false,false,false,https,false,null,false,,false,true,true,"{""averageOverallRating",1},135.0
4,3381086,Ozito Power X Change 18V Grass Trimmer Kit,/ozito-power-x-change-18v-grass-trimmer-kit_p3381086,Ozito Power X Change,https,false,Each,false,true,true,true,false,false,false,false,false,https,false,null,false,,false,true,true,"{""averageOverallRating",1},125.0
5,3381110,Ozito Power X Change 18V Cordless Chainsaw Chain Sharpener - Skin Only,/ozito-power-x-change-18v-cordless-chainsaw-chain-sharpener-skin-only_p3381110,Ozito Power X Change,https,false,Each,false,true,true,true,false,false,false,false,false,https,false,null,false,,false,true,true,"{""averageOverallRating",0},67.5
6,3381169,Ozito Garden 45L Dust Collecting Blower Vac Bag,/ozito-garden-45l-dust-collecting-blower-vac-bag_p3381169,Ozito Power X Change,https,false,Each,false,true,true,true,false,false,false,false,false,https,false,null,false,,false,true,true,"{""averageOverallRating",0},22.0
7,3381338,Ozito Power X Change 18V Pruner Attachment,/ozito-power-x-change-18v-pruner-attachment_p3381338,Ozito Power X Change,https,false,Each,false,true,true,true,false,false,false,false,false,https,false,null,false,,false,true,true,"{""averageOverallRating",0},49.0
8,3400461,Ozito Power X Change Grass Trimmer Blade - 50 Pack,/ozito-power-x-change-grass-trimmer-blade-50-pack_p3400461,Ozito Power X Change,https,false,Each,false,true,true,true,false,false,false,false,false,https,false,null,false,,false,true,true,"{""averageOverallRating",0},22.0
